performance_review_id,average_rating,customer_feedback_score,total_reviews,completion_rate,cancellation_rate,response_time,no_show_rate
1,4.1,80.81,2,81.24,8.43,22.71,5.41
2,4.9,94.63,5,91.77,7.55,20.33,0.48
3,4.6,94.86,4,80.87,6.67,20.77,2.31
4,4.4,90.34,3,83.95,6.1,19.77,1.52
5,3.7,72.84,1,77.13,7.36,22.41,5.68
6,3.7,69.25,1,79.51,10.29,26.64,3.17
7,3.6,75.39,1,85.48,12.28,23.18,6.34
8,4.8,91.11,5,90.39,4.02,18.49,2.52
9,4.4,90.04,3,79.98,5.38,20.88,4.99
10,4.6,96.7,4,86.13,6.3,18.44,1.96
11,3.5,69.38,0,81.48,11.84,25.04,4.82
12,5.0,97.35,5,84.6,4.26,19.99,2.78
13,4.7,96.05,4,82.45,4.92,21.92,3.93
14,3.8,79.17,2,85.54,9.82,25.07,4.09
15,3.8,76.46,1,86.19,9.31,21.69,5.97
16,3.8,80.67,1,86.42,6.46,23.54,2.87
17,4.0,75.52,2,85.4,5.99,20.23,4.83
18,4.3,86.05,3,85.64,8.46,18.91,2.79
19,4.1,84.18,3,81.46,7.99,22.24,2.21
20,3.9,81.63,2,78.71,11.63,21.92,3.75
21,4.4,84.79,3,80.29,8.37,22.5,4.72
22,3.7,77.0,1,82.93,6.46,25.55,6.52
23,3.9,78.53,2,84.85,8.69,25.77,3.77
24,4.0,78.97,2,85.76,7.99,24.56,5.55
25,4.2,80.32,3,87.64,5.54,19.49,3.64
26,4.7,97.65,4,89.8,8.94,19.43,3.47
27,3.8,72.57,1,86.5,10.93,22.44,2.58
28,4.3,84.1,3,81.44,5.98,21.12,3.63
29,4.4,85.9,3,87.13,5.84,19.36,1.48
30,3.6,75.71,0,81.36,6.89,22.19,3.87
31,4.4,89.73,3,82.11,6.08,21.53,3.47
32,3.8,78.97,1,86.32,9.61,25.12,5.63
33,3.6,69.5,1,84.48,9.23,25.81,5.04
34,4.9,99.25,5,83.29,8.62,19.11,3.94
35,4.9,98.72,5,82.26,3.14,19.53,3.44
36,4.7,97.33,4,87.88,6.95,20.3,1.22
37,4.0,84.06,2,83.54,10.65,24.15,3.56
38,3.6,67.12,1,84.86,9.58,21.89,5.47
39,4.5,91.74,4,82.34,4.02,22.26,4.75
40,4.2,79.52,2,79.34,6.36,22.69,5.55
41,3.7,74.49,1,78.59,8.34,22.39,5.65
42,4.2,81.88,3,78.69,10.7,19.49,3.9
43,3.6,70.07,0,75.86,12.17,22.25,5.83
44,4.9,96.53,5,91.15,8.5,19.55,1.29
45,3.9,79.21,2,80.52,10.75,24.95,3.33
46,4.5,88.34,4,84.11,6.11,20.01,3.62
47,4.0,82.33,2,77.68,10.94,22.27,5.49
48,4.3,85.05,3,81.71,10.49,24.4,5.28
49,4.3,81.68,3,87.05,6.7,20.08,2.77
50,3.8,78.84,1,82.65,7.66,21.42,5.59
