Unnamed: 0,Booking_ID,User_ID,Provider_ID,Service_ID,Booking_Date,Service_Date,Service_Location,Booking_Status,Payment_Status,Total_Amount,Discount_Applied,Tax_Amount,Final_Payment
0,1,0,31,1,43:34.1,43:34.1,48,Cancelled,Pending,680.39,118.58,122.47,684.28
1,2,0,1489,6,43:34.1,43:34.1,48,Completed,Paid,4765.95,802.07,857.87,4821.75
2,3,0,1651,7,43:34.1,43:34.1,48,Cancelled,Failed,4987.92,750.77,897.83,5134.98
3,4,0,193,1,43:34.1,43:34.1,48,Cancelled,Paid,3657.39,727.46,658.33,3588.26
4,5,0,571,3,43:34.1,43:34.1,48,Cancelled,Refunded,4496.03,797.69,809.29,4507.63
5,6,0,1759,7,43:34.1,43:34.1,48,Completed,Failed,4429.89,292.14,797.38,4935.13
6,7,0,625,3,43:34.1,43:34.1,48,Completed,Failed,789.61,88.32,142.13,843.42
7,8,0,2407,9,43:34.1,43:34.1,48,Cancelled,Failed,2672.79,321.29,481.1,2832.6
8,9,0,1381,6,43:34.1,43:34.1,48,Cancelled,Pending,1097.44,0.81,197.54,1294.17
9,10,0,139,1,43:34.1,43:34.1,48,Cancelled,Paid,821.1,107.69,147.8,861.21
10,11,0,85,1,43:34.1,43:34.1,48,Completed,Paid,1541.47,163.96,277.46,1654.97
11,12,0,1597,6,43:34.1,43:34.1,48,Cancelled,Paid,2049.78,135.41,368.96,2283.33
12,13,0,841,4,43:34.1,43:34.1,48,Cancelled,Failed,2114.07,58.33,380.53,2436.27
13,14,0,1921,8,43:34.1,43:34.1,48,Cancelled,Failed,2465.91,108.13,443.86,2801.64
14,15,0,1759,7,43:34.1,43:34.1,48,Confirmed,Paid,4019.5,397.57,723.51,4345.44
15,16,0,679,3,43:34.1,43:34.1,48,Cancelled,Pending,4516.57,246.83,812.98,5082.72
16,17,0,139,1,43:34.1,43:34.1,48,Completed,Pending,4512.54,608.21,812.26,4716.59
17,18,0,1327,5,43:34.1,43:34.1,48,Completed,Pending,1631.47,25.07,293.66,1900.06
18,19,0,1003,4,43:34.1,43:34.1,48,Cancelled,Refunded,544.9,85.3,98.08,557.68
19,20,0,2029,8,43:34.1,43:34.1,48,Completed,Paid,1440.97,19.24,259.37,1681.1
20,21,0,1057,4,43:34.1,43:34.1,48,Completed,Pending,4167.25,831.89,750.11,4085.47
21,22,0,949,4,43:34.1,43:34.1,48,Completed,Failed,4318.97,441.87,777.41,4654.51
22,23,0,625,3,43:34.1,43:34.1,48,Cancelled,Failed,4045.16,535.78,728.13,4237.51
23,24,0,1921,8,43:34.1,43:34.1,48,Completed,Pending,651.26,98.3,117.23,670.19
24,25,0,1705,7,43:34.1,43:34.1,48,Cancelled,Failed,1300.65,227.35,234.12,1307.42
25,26,0,301,2,43:34.1,43:34.1,48,Confirmed,Failed,2357.77,294.16,424.4,2488.01
26,27,0,841,4,43:34.1,43:34.1,48,Completed,Failed,1994.69,213.21,359.04,2140.52
27,28,0,571,3,43:34.1,43:34.1,48,Cancelled,Pending,3126.49,158.69,562.77,3530.57
28,29,1,700,3,43:34.1,43:34.1,15,Cancelled,Paid,4540.45,783.46,817.28,4574.27
29,30,1,1024,4,43:34.1,43:34.1,15,Cancelled,Refunded,1402.08,222.01,252.37,1432.44
30,31,1,970,4,43:34.1,43:34.1,15,Cancelled,Pending,2448.52,306.15,440.73,2583.1
31,32,1,2212,9,43:34.1,43:34.1,15,Cancelled,Failed,4440.63,129.83,799.31,5110.11
32,33,1,2104,8,43:34.1,43:34.1,15,Confirmed,Paid,1538.64,208.01,276.96,1607.59
33,34,1,214,1,43:34.1,43:34.1,15,Completed,Paid,1951.69,254.6,351.3,2048.39
34,35,1,700,3,43:34.1,43:34.1,15,Cancelled,Failed,4518.27,331.44,813.29,5000.12
35,36,1,2644,10,43:34.1,43:34.1,15,Cancelled,Refunded,4485.86,798.21,807.45,4495.1
36,37,1,2158,8,43:34.1,43:34.1,15,Completed,Failed,4721.15,683.04,849.81,4887.92
37,38,1,1348,5,43:34.1,43:34.1,15,Cancelled,Failed,3509.32,478.41,631.68,3662.59
38,39,1,2266,9,43:34.1,43:34.1,15,Cancelled,Paid,1180.5,196.97,212.49,1196.02
39,40,1,2050,8,43:34.1,43:34.1,15,Cancelled,Pending,762.29,51.64,137.21,847.86
40,41,1,2104,8,43:34.1,43:34.1,15,Completed,Paid,4937.17,896.89,888.69,4928.97
41,42,1,1618,6,43:34.1,43:34.1,15,Cancelled,Failed,3050.1,309.83,549.02,3289.29
42,43,1,916,4,43:34.1,43:34.1,15,Completed,Failed,3683.89,673.7,663.1,3673.29
43,44,1,484,2,43:34.1,43:34.1,15,Confirmed,Failed,4882.7,292.25,878.89,5469.34
44,45,1,2374,9,43:34.1,43:34.1,15,Completed,Pending,753.72,113.57,135.67,775.82
45,46,1,106,1,43:34.1,43:34.1,15,Confirmed,Pending,1082.87,117.06,194.92,1160.73
46,47,1,754,3,43:34.1,43:34.1,15,Completed,Refunded,4506.68,266.84,811.2,5051.04
47,48,1,1996,8,43:34.1,43:34.1,15,Confirmed,Paid,3618.31,668.85,651.3,3600.76
48,49,1,106,1,43:34.1,43:34.1,15,Completed,Failed,3288.55,94.49,591.94,3786
49,50,1,268,1,43:34.1,43:34.1,15,Completed,Pending,2340.37,139.56,421.27,2622.08
50,51,1,106,1,43:34.1,43:34.1,15,Completed,Refunded,4605.67,640.31,829.02,4794.38
51,52,1,1672,7,43:34.1,43:34.1,15,Confirmed,Failed,4140.25,223.45,745.25,4662.05
52,53,1,268,1,43:34.1,43:34.1,15,Cancelled,Paid,2469.61,151.19,444.53,2762.95
53,54,1,52,1,43:34.1,43:34.1,15,Confirmed,Paid,3989.3,354.67,718.07,4352.7
54,55,1,2428,9,43:34.1,43:34.1,15,Confirmed,Failed,1259.21,155.3,226.66,1330.57
55,56,2,2329,9,43:34.1,43:34.1,53,Cancelled,Failed,671.66,7.13,120.9,785.43
56,57,2,2113,8,43:34.1,43:34.1,53,Confirmed,Pending,2203.42,278.19,396.62,2321.85
57,58,2,1519,6,43:34.1,43:34.1,53,Completed,Paid,4876.9,943.3,877.84,4811.44
58,59,2,925,4,43:34.1,43:34.1,53,Confirmed,Failed,3180.66,131.7,572.52,3621.48
59,60,2,385,2,43:34.1,43:34.1,53,Completed,Failed,3582.31,35.69,644.82,4191.44
60,61,2,1249,5,43:34.1,43:34.1,53,Confirmed,Failed,4434.05,9.52,798.13,5222.66
61,62,2,385,2,43:34.1,43:34.1,53,Completed,Refunded,4006.36,701.15,721.14,4026.35
62,63,2,1897,8,43:34.1,43:34.1,53,Completed,Refunded,4085.62,759.43,735.41,4061.6
63,64,2,1681,7,43:34.1,43:34.1,53,Cancelled,Failed,1827.17,165.39,328.89,1990.67
64,65,2,2437,10,43:34.1,43:34.1,53,Cancelled,Failed,1046.63,169.23,188.39,1065.79
65,66,2,1249,5,43:34.1,43:34.1,53,Completed,Failed,1086.54,149.2,195.58,1132.92
