Booking_ID,User_ID,Provider_ID,Service_ID,Booking_Date,Service_Date,Service_Location,Booking_Status,Payment_Status,Service_Time,Booking_Time
30644,1244,1,1,24-01-2024,27-01-2024,25,Confirmed,Pending,23:06:17,10:31:33
18682,755,1,1,22-01-2024,30-01-2024,25,Cancelled,Refunded,10:47:27,04:31:12
31026,1259,1,1,23-01-2024,02-02-2024,25,Cancelled,Pending,19:59:05,23:05:07
21286,866,1,1,30-01-2024,06-02-2024,25,Cancelled,Pending,06:13:40,16:13:16
6333,255,1,1,02-02-2024,07-02-2024,25,Cancelled,Refunded,11:58:53,13:26:25
32797,1337,2,1,12-08-2014,20-08-2014,50,Cancelled,Pending,20:29:39,22:43:41
2345,97,2,1,18-08-2014,23-08-2014,50,Cancelled,Paid,23:12:21,02:42:18
18846,763,2,1,24-08-2014,26-08-2014,50,Confirmed,Refunded,01:38:31,03:33:03
13621,550,2,1,20-08-2014,28-08-2014,50,Confirmed,Refunded,16:33:43,03:51:37
13623,550,2,1,27-08-2014,29-08-2014,50,Completed,Failed,12:32:18,14:52:24
21463,872,2,1,01-09-2014,03-09-2014,50,Completed,Pending,04:04:52,19:34:33
10984,442,2,1,03-09-2014,06-09-2014,50,Confirmed,Pending,21:27:55,12:35:34
21459,872,2,1,02-09-2014,07-09-2014,50,Confirmed,Refunded,20:01:54,07:14:17
18832,763,2,1,03-09-2014,09-09-2014,50,Completed,Pending,03:38:31,21:15:45
13320,539,2,1,07-09-2014,12-09-2014,50,Confirmed,Pending,09:53:30,22:56:16
916,38,2,1,14-09-2014,17-09-2014,50,Confirmed,Paid,04:40:42,23:10:12
11025,442,2,1,13-09-2014,22-09-2014,50,Completed,Failed,20:30:28,12:02:57
10989,442,2,1,20-09-2014,25-09-2014,50,Confirmed,Refunded,03:18:17,14:33:42
13633,550,2,1,17-09-2014,26-09-2014,50,Completed,Pending,12:03:59,01:23:16
24626,992,3,1,20-02-2024,23-02-2024,9,Cancelled,Failed,04:44:00,12:55:22
10374,420,3,1,20-02-2024,26-02-2024,9,Confirmed,Pending,09:08:50,13:42:44
6785,271,3,1,18-02-2024,28-02-2024,9,Completed,Failed,20:02:05,16:32:00
32032,1305,3,1,27-02-2024,03-03-2024,9,Completed,Refunded,08:44:12,10:31:12
25824,1041,3,1,03-03-2024,08-03-2024,9,Cancelled,Refunded,08:02:43,19:47:50
2642,112,3,1,08-03-2024,10-03-2024,9,Cancelled,Refunded,15:27:46,14:40:58
28636,1164,3,1,12-03-2024,14-03-2024,9,Confirmed,Failed,19:23:44,20:03:52
2145,89,3,1,12-03-2024,15-03-2024,9,Cancelled,Pending,23:41:43,22:56:15
32013,1305,3,1,12-03-2024,16-03-2024,9,Confirmed,Refunded,02:23:44,00:00:09
32189,1313,4,1,25-07-2014,27-07-2014,29,Completed,Paid,12:28:44,20:31:21
18782,759,4,1,19-07-2014,29-07-2014,29,Cancelled,Failed,16:03:18,17:42:39
31103,1263,4,1,30-07-2014,03-08-2014,29,Completed,Paid,11:26:21,04:06:24
32139,1310,4,1,31-07-2014,06-08-2014,29,Cancelled,Failed,00:04:13,12:50:42
128,5,4,1,02-08-2014,10-08-2014,29,Cancelled,Pending,08:10:11,12:02:46
18283,731,4,1,02-08-2014,11-08-2014,29,Completed,Failed,04:10:59,10:32:39
31912,1300,4,1,14-08-2014,16-08-2014,29,Confirmed,Failed,01:46:54,15:58:54
31101,1263,4,1,18-08-2014,20-08-2014,29,Cancelled,Refunded,04:15:03,09:40:25
19684,794,4,1,14-08-2014,21-08-2014,29,Completed,Failed,15:03:31,23:36:44
6581,264,4,1,24-08-2014,26-08-2014,29,Confirmed,Paid,21:16:23,06:26:03
17746,712,4,1,26-08-2014,28-08-2014,29,Confirmed,Failed,10:16:35,20:19:20
6070,246,5,1,24-08-2020,28-08-2020,31,Confirmed,Pending,04:26:23,17:56:59
8275,325,5,1,24-08-2020,29-08-2020,31,Confirmed,Failed,22:48:20,10:34:14
1314,56,5,1,23-08-2020,31-08-2020,31,Confirmed,Pending,05:24:49,15:37:52
2480,103,5,1,01-09-2020,03-09-2020,31,Confirmed,Failed,12:27:31,23:51:34
26363,1060,5,1,28-08-2020,04-09-2020,31,Confirmed,Refunded,03:04:12,07:10:33
10192,409,5,1,29-08-2020,05-09-2020,31,Confirmed,Refunded,17:35:37,23:14:31
8065,316,5,1,28-08-2020,07-09-2020,31,Cancelled,Pending,21:26:29,01:01:55
24046,971,5,1,08-09-2020,11-09-2020,31,Cancelled,Pending,02:03:07,14:19:58
2670,113,5,1,06-09-2020,15-09-2020,31,Confirmed,Pending,21:16:15,22:26:10
6067,246,5,1,17-09-2020,20-09-2020,31,Cancelled,Pending,06:59:06,12:11:06
13781,559,5,1,18-09-2020,21-09-2020,31,Completed,Paid,08:41:37,14:39:03
29103,1184,5,1,20-09-2020,24-09-2020,31,Confirmed,Refunded,08:20:12,23:28:55
29123,1184,5,1,17-09-2020,27-09-2020,31,Completed,Refunded,12:46:22,15:11:25
827,32,6,1,02-12-2021,07-12-2021,12,Completed,Paid,13:05:57,03:24:40
3009,125,6,1,01-12-2021,11-12-2021,12,Confirmed,Refunded,03:54:37,21:37:10
22553,914,6,1,14-12-2021,16-12-2021,12,Cancelled,Refunded,06:52:07,11:33:47
19630,793,6,1,11-12-2021,20-12-2021,12,Confirmed,Paid,18:56:28,04:32:40
8824,349,6,1,15-12-2021,24-12-2021,12,Confirmed,Failed,19:48:29,21:30:45
20729,841,6,1,21-12-2021,28-12-2021,12,Completed,Pending,22:57:10,17:18:34
20755,841,6,1,27-12-2021,29-12-2021,12,Completed,Pending,05:19:25,00:29:31
31205,1268,6,1,21-12-2021,31-12-2021,12,Cancelled,Paid,21:56:21,10:58:28
8837,349,6,1,24-12-2021,01-01-2022,12,Cancelled,Failed,02:02:06,07:31:11
3875,159,6,1,02-01-2022,06-01-2022,12,Cancelled,Paid,06:23:14,21:18:55
2269,94,6,1,29-12-2021,07-01-2022,12,Cancelled,Refunded,18:25:39,07:45:50
15752,635,6,1,05-01-2022,10-01-2022,12,Cancelled,Pending,13:02:09,18:10:18
16871,678,6,1,03-01-2022,12-01-2022,12,Cancelled,Pending,16:14:39,23:50:52
30532,1241,7,1,02-06-2012,10-06-2012,53,Cancelled,Refunded,04:45:01,18:21:25
28545,1158,7,1,05-06-2012,15-06-2012,53,Confirmed,Failed,21:08:15,22:45:01
30526,1241,7,1,15-06-2012,17-06-2012,53,Confirmed,Paid,16:22:05,20:08:58
6936,277,7,1,14-06-2012,22-06-2012,53,Completed,Paid,22:21:45,07:24:30
30517,1241,7,1,16-06-2012,26-06-2012,53,Completed,Paid,15:30:57,16:50:00
31804,1296,7,1,25-06-2012,29-06-2012,53,Completed,Failed,15:47:09,15:14:25
16131,649,7,1,25-06-2012,04-07-2012,53,Cancelled,Pending,14:38:59,11:58:23
31812,1296,7,1,02-07-2012,05-07-2012,53,Confirmed,Pending,19:23:38,07:51:05
16155,649,7,1,30-06-2012,08-07-2012,53,Confirmed,Paid,21:20:53,14:08:57
4521,186,7,1,04-07-2012,10-07-2012,53,Confirmed,Pending,04:45:07,05:11:52
1832,77,7,1,03-07-2012,11-07-2012,53,Completed,Paid,04:15:17,07:10:21
28541,1158,7,1,10-07-2012,14-07-2012,53,Confirmed,Pending,05:31:43,08:33:38
26166,1053,7,1,12-07-2012,18-07-2012,53,Completed,Pending,19:25:32,09:21:17
2420,101,7,1,10-07-2012,19-07-2012,53,Cancelled,Failed,00:24:49,20:46:46
6933,277,7,1,18-07-2012,20-07-2012,53,Confirmed,Refunded,17:09:12,01:06:12
22920,926,8,1,06-04-2021,15-04-2021,14,Completed,Pending,14:24:44,14:36:12
9437,378,8,1,10-04-2021,19-04-2021,14,Confirmed,Pending,10:02:38,15:59:16
22007,896,8,1,19-04-2021,21-04-2021,14,Confirmed,Paid,05:04:49,17:02:57
12212,489,8,1,21-04-2021,24-04-2021,14,Cancelled,Refunded,14:10:36,11:14:22
13392,541,8,1,21-04-2021,28-04-2021,14,Confirmed,Paid,10:19:40,09:24:10
14135,570,8,1,27-04-2021,01-05-2021,14,Cancelled,Pending,04:16:20,21:05:34
12197,489,8,1,30-04-2021,03-05-2021,14,Confirmed,Failed,12:36:58,18:16:29
16315,657,8,1,26-04-2021,06-05-2021,14,Completed,Pending,07:32:14,20:58:33
21987,896,8,1,03-05-2021,09-05-2021,14,Completed,Paid,14:48:57,07:10:54
13283,536,8,1,10-05-2021,13-05-2021,14,Cancelled,Pending,07:15:14,22:58:21
3269,137,8,1,04-05-2021,14-05-2021,14,Confirmed,Paid,11:05:16,16:50:19
29248,1192,8,1,13-05-2021,15-05-2021,14,Cancelled,Paid,18:34:59,00:47:39
18481,744,9,1,06-11-2014,09-11-2014,13,Confirmed,Paid,06:26:13,01:55:17
7074,282,9,1,09-11-2014,12-11-2014,13,Completed,Paid,05:23:43,05:39:23
3193,134,9,1,14-11-2014,17-11-2014,13,Completed,Failed,18:34:37,03:08:06
14403,583,9,1,15-11-2014,19-11-2014,13,Completed,Refunded,17:48:38,08:28:27
18500,744,9,1,16-11-2014,21-11-2014,13,Cancelled,Paid,22:32:14,18:01:58
3195,134,9,1,21-11-2014,26-11-2014,13,Confirmed,Failed,19:00:23,16:54:03
5522,226,10,1,24-09-2018,04-10-2018,22,Confirmed,Paid,12:56:27,17:47:04
7318,290,10,1,29-09-2018,05-10-2018,22,Confirmed,Pending,10:08:07,22:02:55
2739,115,10,1,04-10-2018,08-10-2018,22,Confirmed,Pending,22:52:10,09:42:33
5547,226,10,1,30-09-2018,10-10-2018,22,Completed,Paid,17:30:46,10:05:31
6911,276,10,1,06-10-2018,12-10-2018,22,Cancelled,Refunded,08:21:26,02:27:27
4917,200,10,1,09-10-2018,13-10-2018,22,Completed,Paid,08:22:15,23:22:17
6881,276,10,1,09-10-2018,14-10-2018,22,Completed,Pending,08:42:45,03:58:12
7326,290,10,1,11-10-2018,16-10-2018,22,Completed,Failed,08:57:01,01:00:05
21788,887,11,1,10-09-2013,19-09-2013,18,Confirmed,Pending,18:41:40,09:55:27
21811,887,11,1,18-09-2013,22-09-2013,18,Completed,Refunded,21:30:39,21:20:08
14257,576,11,1,21-09-2013,23-09-2013,18,Confirmed,Pending,23:49:08,21:42:57
953,39,11,1,18-09-2013,24-09-2013,18,Cancelled,Refunded,21:56:40,19:56:29
