Booking_ID,User_ID,Provider_ID,Service_ID,Booking_Date,Service_Date,Service_Location,Booking_Status,Payment_Status,Service_Time,Booking_Time,Lead_Time,Service_Time_Slot,Base_Fare,Adjusted_Fare,Location_Adjusted_Fare,Final_Payment
30644,1244,1,1,2024-01-24,2024-01-27,25,Confirmed,Pending,23,10:31:33,3,Night,402,402.0,652.0,749.8
18682,755,1,1,2024-01-22,2024-01-30,25,Cancelled,Refunded,10,04:31:12,8,Morning,402,402.0,652.0,652.0
31026,1259,1,1,2024-01-23,2024-02-02,25,Cancelled,Pending,19,23:05:07,10,Evening,402,402.0,652.0,717.2
21286,866,1,1,2024-01-30,2024-02-06,25,Cancelled,Pending,6,16:13:16,7,Morning,402,402.0,652.0,652.0
6333,255,1,1,2024-02-02,2024-02-07,25,Cancelled,Refunded,11,13:26:25,5,Morning,402,402.0,652.0,652.0
32797,1337,2,1,2014-08-12,2014-08-20,50,Cancelled,Pending,20,22:43:41,8,Evening,402,402.0,902.0,992.2
2345,97,2,1,2014-08-18,2014-08-23,50,Cancelled,Paid,23,02:42:18,5,Night,402,402.0,902.0,1037.3
18846,763,2,1,2014-08-24,2014-08-26,50,Confirmed,Refunded,1,03:33:03,2,Night,402,482.4,982.4,1129.76
13621,550,2,1,2014-08-20,2014-08-28,50,Confirmed,Refunded,16,03:51:37,8,Afternoon,402,402.0,902.0,947.1
13623,550,2,1,2014-08-27,2014-08-29,50,Completed,Failed,12,14:52:24,2,Afternoon,402,482.4,982.4,1031.52
21463,872,2,1,2014-09-01,2014-09-03,50,Completed,Pending,4,19:34:33,2,Night,402,482.4,982.4,1129.76
10984,442,2,1,2014-09-03,2014-09-06,50,Confirmed,Pending,21,12:35:34,3,Evening,402,402.0,902.0,992.2
21459,872,2,1,2014-09-02,2014-09-07,50,Confirmed,Refunded,20,07:14:17,5,Evening,402,402.0,902.0,992.2
18832,763,2,1,2014-09-03,2014-09-09,50,Completed,Pending,3,21:15:45,6,Night,402,402.0,902.0,1037.3
13320,539,2,1,2014-09-07,2014-09-12,50,Confirmed,Pending,9,22:56:16,5,Morning,402,402.0,902.0,902.0
916,38,2,1,2014-09-14,2014-09-17,50,Confirmed,Paid,4,23:10:12,3,Night,402,402.0,902.0,1037.3
11025,442,2,1,2014-09-13,2014-09-22,50,Completed,Failed,20,12:02:57,9,Evening,402,402.0,902.0,992.2
10989,442,2,1,2014-09-20,2014-09-25,50,Confirmed,Refunded,3,14:33:42,5,Night,402,402.0,902.0,1037.3
13633,550,2,1,2014-09-17,2014-09-26,50,Completed,Pending,12,01:23:16,9,Afternoon,402,402.0,902.0,947.1
24626,992,3,1,2024-02-20,2024-02-23,9,Cancelled,Failed,4,12:55:22,3,Night,402,402.0,492.0,565.8
10374,420,3,1,2024-02-20,2024-02-26,9,Confirmed,Pending,9,13:42:44,6,Morning,402,402.0,492.0,492.0
6785,271,3,1,2024-02-18,2024-02-28,9,Completed,Failed,20,16:32:00,10,Evening,402,402.0,492.0,541.2
32032,1305,3,1,2024-02-27,2024-03-03,9,Completed,Refunded,8,10:31:12,5,Morning,402,402.0,492.0,492.0
25824,1041,3,1,2024-03-03,2024-03-08,9,Cancelled,Refunded,8,19:47:50,5,Morning,402,402.0,492.0,492.0
2642,112,3,1,2024-03-08,2024-03-10,9,Cancelled,Refunded,15,14:40:58,2,Afternoon,402,482.4,572.4,601.02
28636,1164,3,1,2024-03-12,2024-03-14,9,Confirmed,Failed,19,20:03:52,2,Evening,402,482.4,572.4,629.64
2145,89,3,1,2024-03-12,2024-03-15,9,Cancelled,Pending,23,22:56:15,3,Night,402,402.0,492.0,565.8
32013,1305,3,1,2024-03-12,2024-03-16,9,Confirmed,Refunded,2,00:00:09,4,Night,402,402.0,492.0,565.8
32189,1313,4,1,2014-07-25,2014-07-27,29,Completed,Paid,12,20:31:21,2,Afternoon,402,482.4,772.4,811.02
18782,759,4,1,2014-07-19,2014-07-29,29,Cancelled,Failed,16,17:42:39,10,Afternoon,402,402.0,692.0,726.6
31103,1263,4,1,2014-07-30,2014-08-03,29,Completed,Paid,11,04:06:24,4,Morning,402,402.0,692.0,692.0
32139,1310,4,1,2014-07-31,2014-08-06,29,Cancelled,Failed,0,12:50:42,6,Night,402,402.0,692.0,795.8
